[I 2024-01-07 11:16:05,741] A new study created in memory with name: no-name-0cf6b688-7bd8-4600-9160-cd99f5c25221
[I 2024-01-07 11:21:50,295] Trial 0 finished with value: -0.411796 and parameters: {'learning_rate': 0.00011062664948532134, 'max_depth': 3, 'min_child_weight': 3, 'gamma': 1.0808460576665565e-06, 'lambda': 0.0006768837405377792, 'alpha': 6.358940946152944e-07}. Best is trial 0 with value: -0.411796.
[I 2024-01-07 11:27:24,604] Trial 1 finished with value: -0.411796 and parameters: {'learning_rate': 2.3665430275471948e-08, 'max_depth': 4, 'min_child_weight': 4, 'gamma': 0.22128452032703042, 'lambda': 3.6962315257800067e-07, 'alpha': 5.97493368713313e-05}. Best is trial 0 with value: -0.411796.
[I 2024-01-07 11:32:59,031] Trial 2 finished with value: -0.411796 and parameters: {'learning_rate': 0.00014418445413586238, 'max_depth': 3, 'min_child_weight': 8, 'gamma': 0.013177342870398123, 'lambda': 1.3383681545804614e-07, 'alpha': 6.5073609766237615e-06}. Best is trial 0 with value: -0.411796.
[I 2024-01-07 11:38:33,832] Trial 3 finished with value: -0.411796 and parameters: {'learning_rate': 0.0017072214989991778, 'max_depth': 6, 'min_child_weight': 2, 'gamma': 0.0698026718582992, 'lambda': 0.14584039298247986, 'alpha': 0.0011837186580029293}. Best is trial 0 with value: -0.411796.
[I 2024-01-07 11:44:08,537] Trial 4 finished with value: -0.411796 and parameters: {'learning_rate': 4.383696662233417e-06, 'max_depth': 4, 'min_child_weight': 2, 'gamma': 4.463062949247771e-08, 'lambda': 5.9201721937525966e-05, 'alpha': 0.001669351945806138}. Best is trial 0 with value: -0.411796.
[I 2024-01-07 11:49:42,897] Trial 5 finished with value: -0.411796 and parameters: {'learning_rate': 0.003361478436809571, 'max_depth': 4, 'min_child_weight': 5, 'gamma': 0.6251826291328869, 'lambda': 0.0002933985284302606, 'alpha': 0.00530335047130776}. Best is trial 0 with value: -0.411796.
[I 2024-01-07 11:55:17,920] Trial 6 finished with value: -0.411796 and parameters: {'learning_rate': 0.0006922347675389789, 'max_depth': 4, 'min_child_weight': 7, 'gamma': 0.01891602428709297, 'lambda': 0.0016809443025974833, 'alpha': 0.018894386140999895}. Best is trial 0 with value: -0.411796.
[I 2024-01-07 12:00:53,556] Trial 7 finished with value: -0.411796 and parameters: {'learning_rate': 2.0461809573188523e-06, 'max_depth': 5, 'min_child_weight': 8, 'gamma': 3.239877133751919e-06, 'lambda': 0.09948102174550612, 'alpha': 0.004610794137680162}. Best is trial 0 with value: -0.411796.
[I 2024-01-07 12:06:29,008] Trial 8 finished with value: -0.411796 and parameters: {'learning_rate': 7.128032406117614e-06, 'max_depth': 3, 'min_child_weight': 5, 'gamma': 0.001622941738879171, 'lambda': 1.9312996935904807e-06, 'alpha': 5.677926524462224e-07}. Best is trial 0 with value: -0.411796.
[I 2024-01-07 12:12:03,679] Trial 9 finished with value: -0.411796 and parameters: {'learning_rate': 0.0016773186546263502, 'max_depth': 6, 'min_child_weight': 6, 'gamma': 0.0005359486397936747, 'lambda': 2.5438436365547367e-06, 'alpha': 4.102564396385469e-06}. Best is trial 0 with value: -0.411796.
slurmstepd: error: *** JOB 799961 ON ilps-cn002 CANCELLED AT 2024-01-07T12:14:48 ***
