[I 2024-02-01 21:05:19,292] A new study created in memory with name: no-name-3659a0fe-e49c-4bd4-878e-3f41eeab627e
[I 2024-02-01 21:44:22,955] Trial 0 finished with value: -0.663883 and parameters: {'learning_rate': 0.6450837216527995, 'max_depth': 5, 'min_child_weight': 7, 'gamma': 1.0705122401817005e-08, 'lambda': 1.7360075851029565e-06, 'alpha': 0.03994942060552754}. Best is trial 0 with value: -0.663883.
[I 2024-02-01 21:56:30,247] Trial 1 finished with value: -0.397014 and parameters: {'learning_rate': 5.1512601822519897e-05, 'max_depth': 5, 'min_child_weight': 3, 'gamma': 2.3025814065765855e-05, 'lambda': 1.7194818886454798e-08, 'alpha': 1.6110632780033683e-08}. Best is trial 0 with value: -0.663883.
[I 2024-02-01 22:33:22,732] Trial 2 finished with value: -0.648136 and parameters: {'learning_rate': 0.4253364152374529, 'max_depth': 3, 'min_child_weight': 5, 'gamma': 4.6258478929757926e-07, 'lambda': 1.9092845478410134e-07, 'alpha': 0.0051472140617159386}. Best is trial 0 with value: -0.663883.
[I 2024-02-01 23:08:56,053] Trial 3 finished with value: -0.513639 and parameters: {'learning_rate': 0.006499947689083848, 'max_depth': 3, 'min_child_weight': 4, 'gamma': 0.07576610367366365, 'lambda': 0.014551381245843839, 'alpha': 1.1202344554597175e-08}. Best is trial 0 with value: -0.663883.
[I 2024-02-01 23:50:02,890] Trial 4 finished with value: -0.574631 and parameters: {'learning_rate': 0.002046132962056725, 'max_depth': 7, 'min_child_weight': 7, 'gamma': 0.32299485281686335, 'lambda': 4.282460334896285e-07, 'alpha': 0.0008771464208589696}. Best is trial 0 with value: -0.663883.
[I 2024-02-02 00:02:32,191] Trial 5 finished with value: -0.396664 and parameters: {'learning_rate': 6.616941244150314e-07, 'max_depth': 5, 'min_child_weight': 4, 'gamma': 0.034011393113706385, 'lambda': 0.0010712093711302776, 'alpha': 0.18839434412109454}. Best is trial 0 with value: -0.663883.
[I 2024-02-02 00:45:40,983] Trial 6 finished with value: -0.60184 and parameters: {'learning_rate': 0.006453939634887225, 'max_depth': 8, 'min_child_weight': 3, 'gamma': 1.3732188482515298e-06, 'lambda': 0.6923785352085586, 'alpha': 2.1005275350352752e-08}. Best is trial 0 with value: -0.663883.
[I 2024-02-02 00:49:56,584] Trial 7 finished with value: -0.267289 and parameters: {'learning_rate': 1.788214048923704e-05, 'max_depth': 3, 'min_child_weight': 6, 'gamma': 1.048245835039061e-05, 'lambda': 0.8563527131908452, 'alpha': 0.006646815003009808}. Best is trial 0 with value: -0.663883.
[I 2024-02-02 01:32:28,335] Trial 8 finished with value: -0.669142 and parameters: {'learning_rate': 0.20995739979618683, 'max_depth': 8, 'min_child_weight': 8, 'gamma': 0.00021046879336200804, 'lambda': 4.446650174091546e-08, 'alpha': 0.05061170954801522}. Best is trial 8 with value: -0.669142.
[I 2024-02-02 01:37:07,296] Trial 9 finished with value: -0.484571 and parameters: {'learning_rate': 3.1646354945770043e-06, 'max_depth': 6, 'min_child_weight': 5, 'gamma': 2.0182288770629684e-07, 'lambda': 0.040094845345557246, 'alpha': 1.4504349180349713e-08}. Best is trial 8 with value: -0.669142.
[I 2024-02-02 01:42:42,931] Trial 10 finished with value: -0.520296 and parameters: {'learning_rate': 2.174169740368771e-08, 'max_depth': 8, 'min_child_weight': 8, 'gamma': 0.0006462424093845722, 'lambda': 1.0948040386737141e-05, 'alpha': 0.8107915367844755}. Best is trial 8 with value: -0.669142.
[I 2024-02-02 02:22:14,136] Trial 11 finished with value: -0.666251 and parameters: {'learning_rate': 0.49006849549477677, 'max_depth': 6, 'min_child_weight': 8, 'gamma': 1.307225162023385e-08, 'lambda': 7.634504351552362e-06, 'alpha': 0.0627407802613701}. Best is trial 8 with value: -0.669142.
[I 2024-02-02 03:04:52,197] Trial 12 finished with value: -0.645332 and parameters: {'learning_rate': 0.06193798104760089, 'max_depth': 7, 'min_child_weight': 8, 'gamma': 0.0004313040082821168, 'lambda': 4.5935727069713477e-05, 'alpha': 0.00016645970293200824}. Best is trial 8 with value: -0.669142.
[I 2024-02-02 03:30:21,919] Trial 13 finished with value: -0.658001 and parameters: {'learning_rate': 0.8504653180719115, 'max_depth': 7, 'min_child_weight': 7, 'gamma': 1.1213534560697735e-08, 'lambda': 3.004153806016769e-08, 'alpha': 0.929672451053248}. Best is trial 8 with value: -0.669142.
[I 2024-02-02 03:59:19,826] Trial 14 finished with value: -0.532168 and parameters: {'learning_rate': 0.00047643709364373975, 'max_depth': 6, 'min_child_weight': 8, 'gamma': 0.0015763624009116608, 'lambda': 4.973351354037554e-06, 'alpha': 0.015204940117187746}. Best is trial 8 with value: -0.669142.
[I 2024-02-02 04:37:18,677] Trial 15 finished with value: -0.609888 and parameters: {'learning_rate': 0.04251207073934797, 'max_depth': 4, 'min_child_weight': 6, 'gamma': 4.4321593935338145e-05, 'lambda': 2.9832790377936324e-07, 'alpha': 0.0870081992120914}. Best is trial 8 with value: -0.669142.
[I 2024-02-02 05:21:22,532] Trial 16 finished with value: -0.648339 and parameters: {'learning_rate': 0.05526357131025579, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 3.3978454521536272e-06, 'lambda': 0.0001234613335737873, 'alpha': 2.828951740485307e-05}. Best is trial 8 with value: -0.669142.
[I 2024-02-02 05:26:03,582] Trial 17 finished with value: -0.485091 and parameters: {'learning_rate': 0.0001977138608946737, 'max_depth': 6, 'min_child_weight': 6, 'gamma': 6.345755442870356e-05, 'lambda': 5.944984543606077e-08, 'alpha': 0.07955926629502504}. Best is trial 8 with value: -0.669142.
[I 2024-02-02 06:07:48,925] Trial 18 finished with value: -0.660401 and parameters: {'learning_rate': 0.12529075382282975, 'max_depth': 7, 'min_child_weight': 8, 'gamma': 1.1471308952319615e-07, 'lambda': 1.0242475978279773e-06, 'alpha': 0.0012465641980512934}. Best is trial 8 with value: -0.669142.
[I 2024-02-02 06:44:50,524] Trial 19 finished with value: -0.562773 and parameters: {'learning_rate': 0.011568796866241272, 'max_depth': 4, 'min_child_weight': 7, 'gamma': 0.003646572801673779, 'lambda': 1.1038124278271554e-08, 'alpha': 0.23065152170156542}. Best is trial 8 with value: -0.669142.
[I 2024-02-02 07:27:17,296] Trial 20 finished with value: -0.575379 and parameters: {'learning_rate': 0.0011038187480136496, 'max_depth': 8, 'min_child_weight': 6, 'gamma': 0.0001344707071598468, 'lambda': 8.481615346918317e-08, 'alpha': 0.01952817739292001}. Best is trial 8 with value: -0.669142.
[I 2024-02-02 08:05:39,749] Trial 21 finished with value: -0.660395 and parameters: {'learning_rate': 0.9133863985391725, 'max_depth': 5, 'min_child_weight': 7, 'gamma': 1.1395470866845185e-08, 'lambda': 1.721942545262318e-06, 'alpha': 0.040332849684386406}. Best is trial 8 with value: -0.669142.
