[I 2024-02-01 21:05:55,896] A new study created in memory with name: no-name-49008c61-4801-4b2b-b2a7-4be29e17d8ac
[I 2024-02-01 21:44:22,044] Trial 0 finished with value: -0.497872 and parameters: {'learning_rate': 0.004378044984230146, 'max_depth': 3, 'min_child_weight': 3, 'gamma': 1.661648218180377e-05, 'lambda': 0.008224345742223837, 'alpha': 0.480380529361804}. Best is trial 0 with value: -0.497872.
[I 2024-02-01 22:24:51,398] Trial 1 finished with value: -0.545201 and parameters: {'learning_rate': 0.0030878581160358972, 'max_depth': 5, 'min_child_weight': 4, 'gamma': 1.2392811956087627e-08, 'lambda': 0.0010460646682898332, 'alpha': 5.875598979744024e-06}. Best is trial 1 with value: -0.545201.
[I 2024-02-01 22:30:08,596] Trial 2 finished with value: -0.518982 and parameters: {'learning_rate': 3.080707413574652e-05, 'max_depth': 8, 'min_child_weight': 8, 'gamma': 1.8690635549330692e-08, 'lambda': 0.0005752057743613918, 'alpha': 0.003446396621086535}. Best is trial 1 with value: -0.545201.
[I 2024-02-01 22:35:10,933] Trial 3 finished with value: -0.373862 and parameters: {'learning_rate': 5.786247184709674e-05, 'max_depth': 4, 'min_child_weight': 2, 'gamma': 2.5552352955148864e-08, 'lambda': 0.012486550722374272, 'alpha': 1.1547122365767484e-08}. Best is trial 1 with value: -0.545201.
[I 2024-02-01 22:40:18,322] Trial 4 finished with value: -0.505501 and parameters: {'learning_rate': 2.6492909943988734e-08, 'max_depth': 7, 'min_child_weight': 5, 'gamma': 1.860503821760498e-08, 'lambda': 0.00014394040415931288, 'alpha': 0.006276008508412968}. Best is trial 1 with value: -0.545201.
[I 2024-02-01 22:44:51,749] Trial 5 finished with value: -0.267289 and parameters: {'learning_rate': 1.2368152005254611e-05, 'max_depth': 3, 'min_child_weight': 8, 'gamma': 0.252635686916042, 'lambda': 0.10352671440816649, 'alpha': 0.00894020606730234}. Best is trial 1 with value: -0.545201.
[I 2024-02-01 22:49:48,654] Trial 6 finished with value: -0.37386 and parameters: {'learning_rate': 3.499480573273674e-08, 'max_depth': 4, 'min_child_weight': 5, 'gamma': 1.603283729955849e-08, 'lambda': 0.08163689757080692, 'alpha': 0.3853107630328065}. Best is trial 1 with value: -0.545201.
[I 2024-02-01 22:54:46,839] Trial 7 finished with value: -0.37386 and parameters: {'learning_rate': 5.821514134998966e-08, 'max_depth': 4, 'min_child_weight': 3, 'gamma': 0.01008662415310493, 'lambda': 0.14208883262975883, 'alpha': 0.15355208699833134}. Best is trial 1 with value: -0.545201.
[I 2024-02-01 22:59:47,715] Trial 8 finished with value: -0.373862 and parameters: {'learning_rate': 3.08354701793614e-08, 'max_depth': 4, 'min_child_weight': 3, 'gamma': 0.0008970100487197313, 'lambda': 0.0004603083568944792, 'alpha': 2.8798620873785785e-07}. Best is trial 1 with value: -0.545201.
[I 2024-02-01 23:39:56,395] Trial 9 finished with value: -0.6399 and parameters: {'learning_rate': 0.1376424126329834, 'max_depth': 4, 'min_child_weight': 5, 'gamma': 7.301083633141671e-05, 'lambda': 0.23000455509537784, 'alpha': 0.11741853288682548}. Best is trial 9 with value: -0.6399.
[I 2024-02-02 00:21:46,101] Trial 10 finished with value: -0.665 and parameters: {'learning_rate': 0.37972823866082217, 'max_depth': 6, 'min_child_weight': 6, 'gamma': 1.5110289103296264e-05, 'lambda': 4.965833160377797e-07, 'alpha': 7.784068684188813e-05}. Best is trial 10 with value: -0.665.
