[I 2024-02-01 21:05:59,857] A new study created in memory with name: no-name-56bc8748-d3e0-4876-a642-09fadfb9c98e
[I 2024-02-01 21:48:18,441] Trial 0 finished with value: -0.633922 and parameters: {'learning_rate': 0.05145038445222666, 'max_depth': 6, 'min_child_weight': 2, 'gamma': 0.001082869473163061, 'lambda': 0.6519825837241786, 'alpha': 3.7929547665753763e-06}. Best is trial 0 with value: -0.633922.
[I 2024-02-01 21:53:05,380] Trial 1 finished with value: -0.373862 and parameters: {'learning_rate': 1.1677515430485014e-05, 'max_depth': 4, 'min_child_weight': 5, 'gamma': 0.00014772177152918873, 'lambda': 0.010746690454227202, 'alpha': 0.0034821134248785154}. Best is trial 0 with value: -0.633922.
[I 2024-02-01 22:21:35,174] Trial 2 finished with value: -0.666381 and parameters: {'learning_rate': 0.3662337355493237, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 0.7979740129935327, 'lambda': 0.0038437060931145444, 'alpha': 0.03179580658436605}. Best is trial 2 with value: -0.666381.
[I 2024-02-01 23:05:25,702] Trial 3 finished with value: -0.630002 and parameters: {'learning_rate': 0.025809706813493302, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 0.015312959446095236, 'lambda': 0.03037175956406653, 'alpha': 4.0485387918120534e-08}. Best is trial 2 with value: -0.666381.
[I 2024-02-01 23:42:58,403] Trial 4 finished with value: -0.622811 and parameters: {'learning_rate': 0.09388013398274034, 'max_depth': 3, 'min_child_weight': 2, 'gamma': 0.018886911740747702, 'lambda': 0.005164200276544701, 'alpha': 0.0003235470591681208}. Best is trial 2 with value: -0.666381.
[I 2024-02-01 23:47:17,614] Trial 5 finished with value: -0.267289 and parameters: {'learning_rate': 1.0786397795291227e-08, 'max_depth': 3, 'min_child_weight': 7, 'gamma': 1.303775559165939e-05, 'lambda': 2.585653465695722e-05, 'alpha': 1.4889322626094048e-08}. Best is trial 2 with value: -0.666381.
[I 2024-02-01 23:52:03,488] Trial 6 finished with value: -0.484654 and parameters: {'learning_rate': 6.54432044307984e-08, 'max_depth': 6, 'min_child_weight': 8, 'gamma': 1.9695840992949796e-08, 'lambda': 0.01995924574399292, 'alpha': 1.0834657508531326e-05}. Best is trial 2 with value: -0.666381.
[I 2024-02-02 00:30:39,820] Trial 7 finished with value: -0.639423 and parameters: {'learning_rate': 0.12916901822143925, 'max_depth': 4, 'min_child_weight': 6, 'gamma': 1.7449235701913597e-06, 'lambda': 2.650963761917554e-07, 'alpha': 1.7652111978040182e-06}. Best is trial 2 with value: -0.666381.
[I 2024-02-02 01:08:32,574] Trial 8 finished with value: -0.549249 and parameters: {'learning_rate': 0.003945204017777429, 'max_depth': 5, 'min_child_weight': 7, 'gamma': 0.5284797776901161, 'lambda': 4.616710712526388e-06, 'alpha': 0.004867371444650377}. Best is trial 2 with value: -0.666381.
[I 2024-02-02 01:12:46,891] Trial 9 finished with value: -0.373862 and parameters: {'learning_rate': 3.597050367285895e-08, 'max_depth': 4, 'min_child_weight': 7, 'gamma': 0.02538085502240555, 'lambda': 0.007388087851146964, 'alpha': 3.3197463885308965e-08}. Best is trial 2 with value: -0.666381.
[I 2024-02-02 01:50:30,029] Trial 10 finished with value: -0.564481 and parameters: {'learning_rate': 0.000523365258050144, 'max_depth': 8, 'min_child_weight': 4, 'gamma': 0.39298233623001305, 'lambda': 1.594594164533987e-08, 'alpha': 0.6757308399811693}. Best is trial 2 with value: -0.666381.
