[I 2024-02-01 21:05:24,113] A new study created in memory with name: no-name-64d5d462-f2e2-47cb-bf98-7dc721d2e5fd
[I 2024-02-01 21:10:47,515] Trial 0 finished with value: -0.37386 and parameters: {'learning_rate': 2.982159277365803e-05, 'max_depth': 4, 'min_child_weight': 7, 'gamma': 0.10368513868673364, 'lambda': 0.49330741712610937, 'alpha': 0.00035798418241977297}. Best is trial 0 with value: -0.37386.
[I 2024-02-01 21:23:11,232] Trial 1 finished with value: -0.382133 and parameters: {'learning_rate': 0.0002569656300733743, 'max_depth': 3, 'min_child_weight': 2, 'gamma': 6.301001158995224e-07, 'lambda': 8.5156741922095e-05, 'alpha': 6.566369101476681e-07}. Best is trial 1 with value: -0.382133.
[I 2024-02-01 21:28:24,440] Trial 2 finished with value: -0.518907 and parameters: {'learning_rate': 4.0133435684458416e-08, 'max_depth': 8, 'min_child_weight': 8, 'gamma': 5.274707205376873e-07, 'lambda': 8.184348391055065e-05, 'alpha': 0.06954997498769812}. Best is trial 2 with value: -0.518907.
[I 2024-02-01 22:06:56,355] Trial 3 finished with value: -0.620421 and parameters: {'learning_rate': 0.057720339913006895, 'max_depth': 4, 'min_child_weight': 8, 'gamma': 2.0611734002308367e-08, 'lambda': 0.00012955469985968774, 'alpha': 4.249528237454882e-08}. Best is trial 3 with value: -0.620421.
[I 2024-02-01 22:49:37,583] Trial 4 finished with value: -0.575923 and parameters: {'learning_rate': 0.0010324338144964448, 'max_depth': 8, 'min_child_weight': 5, 'gamma': 0.5450914135280153, 'lambda': 0.0026626968043186525, 'alpha': 0.32689350936569855}. Best is trial 3 with value: -0.620421.
[I 2024-02-01 22:54:21,425] Trial 5 finished with value: -0.373862 and parameters: {'learning_rate': 6.295393351995154e-05, 'max_depth': 4, 'min_child_weight': 4, 'gamma': 0.002867416029390651, 'lambda': 0.09118869397294746, 'alpha': 5.125109683448833e-06}. Best is trial 3 with value: -0.620421.
[I 2024-02-01 22:59:05,090] Trial 6 finished with value: -0.373862 and parameters: {'learning_rate': 1.1914325331608403e-07, 'max_depth': 4, 'min_child_weight': 2, 'gamma': 0.002527460977921776, 'lambda': 1.5648374644176048e-06, 'alpha': 6.908769592706039e-05}. Best is trial 3 with value: -0.620421.
[I 2024-02-01 23:19:02,792] Trial 7 finished with value: -0.397238 and parameters: {'learning_rate': 2.1043524469717448e-07, 'max_depth': 5, 'min_child_weight': 7, 'gamma': 1.5753327313284504e-06, 'lambda': 2.081021170515927e-08, 'alpha': 0.009053013551334062}. Best is trial 3 with value: -0.620421.
[I 2024-02-01 23:23:44,707] Trial 8 finished with value: -0.484559 and parameters: {'learning_rate': 9.005327813416992e-05, 'max_depth': 6, 'min_child_weight': 2, 'gamma': 6.224354223631357e-08, 'lambda': 0.0951008682925829, 'alpha': 8.367174346202491e-07}. Best is trial 3 with value: -0.620421.
[I 2024-02-02 00:05:19,874] Trial 9 finished with value: -0.605236 and parameters: {'learning_rate': 0.012680550966469998, 'max_depth': 7, 'min_child_weight': 6, 'gamma': 6.510449791338355e-06, 'lambda': 0.028362202048376327, 'alpha': 6.364498642777497e-05}. Best is trial 3 with value: -0.620421.
[I 2024-02-02 00:42:48,413] Trial 10 finished with value: -0.643847 and parameters: {'learning_rate': 0.31786103102809354, 'max_depth': 3, 'min_child_weight': 8, 'gamma': 1.4029600272593177e-08, 'lambda': 0.0008299807000239951, 'alpha': 1.1333144546575671e-08}. Best is trial 10 with value: -0.643847.
