[I 2024-02-01 21:05:22,377] A new study created in memory with name: no-name-d9d2ef51-5c6e-4a07-bca7-40e8eca0ea9d
[I 2024-02-01 21:10:47,259] Trial 0 finished with value: -0.373862 and parameters: {'learning_rate': 1.8148041602704907e-06, 'max_depth': 4, 'min_child_weight': 8, 'gamma': 4.433689160412476e-05, 'lambda': 0.0016957853425090263, 'alpha': 0.023518687383326953}. Best is trial 0 with value: -0.373862.
[I 2024-02-01 21:48:26,876] Trial 1 finished with value: -0.626412 and parameters: {'learning_rate': 0.10983889860801961, 'max_depth': 3, 'min_child_weight': 6, 'gamma': 8.706466141636233e-08, 'lambda': 0.08519915417269008, 'alpha': 1.059851423890918e-06}. Best is trial 1 with value: -0.626412.
[I 2024-02-01 21:52:47,441] Trial 2 finished with value: -0.267289 and parameters: {'learning_rate': 5.094664845112001e-07, 'max_depth': 3, 'min_child_weight': 4, 'gamma': 0.4379844328766251, 'lambda': 0.33484551753643355, 'alpha': 1.319844303656101e-08}. Best is trial 1 with value: -0.626412.
[I 2024-02-01 22:05:02,103] Trial 3 finished with value: -0.39667 and parameters: {'learning_rate': 1.31390976779766e-05, 'max_depth': 5, 'min_child_weight': 2, 'gamma': 1.4315022639775426e-08, 'lambda': 4.782891546270019e-08, 'alpha': 4.864772783213045e-05}. Best is trial 1 with value: -0.626412.
[I 2024-02-01 22:09:56,011] Trial 4 finished with value: -0.505569 and parameters: {'learning_rate': 7.21314157289732e-08, 'max_depth': 7, 'min_child_weight': 7, 'gamma': 2.7239929054417965e-07, 'lambda': 0.021886757911259824, 'alpha': 1.9947610478088963e-06}. Best is trial 1 with value: -0.626412.
[I 2024-02-01 22:47:02,708] Trial 5 finished with value: -0.645773 and parameters: {'learning_rate': 0.3397756964101061, 'max_depth': 3, 'min_child_weight': 8, 'gamma': 1.4616464976568962e-06, 'lambda': 7.914634747990682e-05, 'alpha': 9.98780077390025e-07}. Best is trial 5 with value: -0.645773.
[I 2024-02-01 23:06:12,570] Trial 6 finished with value: -0.656469 and parameters: {'learning_rate': 0.8956071594845213, 'max_depth': 7, 'min_child_weight': 4, 'gamma': 0.000715141309000152, 'lambda': 0.17622621885720513, 'alpha': 4.17928316307523e-08}. Best is trial 6 with value: -0.656469.
[I 2024-02-01 23:48:46,041] Trial 7 finished with value: -0.56684 and parameters: {'learning_rate': 0.0006020495642542802, 'max_depth': 8, 'min_child_weight': 8, 'gamma': 1.975569595303407e-06, 'lambda': 1.4893323635599385e-07, 'alpha': 2.2831612690124695e-07}. Best is trial 6 with value: -0.656469.
[I 2024-02-02 00:27:56,755] Trial 8 finished with value: -0.659818 and parameters: {'learning_rate': 0.30444609923600685, 'max_depth': 5, 'min_child_weight': 4, 'gamma': 1.9620162970485128e-05, 'lambda': 0.00010961653682292794, 'alpha': 1.1735339808426144e-07}. Best is trial 8 with value: -0.659818.
[I 2024-02-02 01:06:38,359] Trial 9 finished with value: -0.512171 and parameters: {'learning_rate': 0.0004705301841683415, 'max_depth': 5, 'min_child_weight': 2, 'gamma': 6.656481683100153e-05, 'lambda': 4.844444632389049e-06, 'alpha': 0.0011771774897114103}. Best is trial 8 with value: -0.659818.
[I 2024-02-02 01:47:26,519] Trial 10 finished with value: -0.591149 and parameters: {'learning_rate': 0.009995619922811722, 'max_depth': 6, 'min_child_weight': 4, 'gamma': 0.0061120402963246055, 'lambda': 0.00031773189236247663, 'alpha': 0.5420260092619422}. Best is trial 8 with value: -0.659818.
[I 2024-02-02 02:18:34,237] Trial 11 finished with value: -0.661768 and parameters: {'learning_rate': 0.7390745484179869, 'max_depth': 7, 'min_child_weight': 4, 'gamma': 0.0010270878623150057, 'lambda': 0.895558479274502, 'alpha': 1.0469096742392955e-08}. Best is trial 11 with value: -0.661768.
