[I 2024-01-08 01:42:14,366] A new study created in memory with name: no-name-057801ad-2b47-48dc-9790-5e044ca5be26
[I 2024-01-08 08:41:40,697] Trial 0 finished with value: 0.4798174083768155 and parameters: {'n_layers': 4, 'n_units_l0': 30, 'n_units_l1': 108, 'n_units_l2': 36, 'n_units_l3': 123, 'optimizer': 'Adam', 'lr': 0.0014112466331460344, 'batch_size': 128}. Best is trial 0 with value: 0.4798174083768155.
[I 2024-01-08 09:53:24,213] Trial 1 finished with value: 0.3625803610712039 and parameters: {'n_layers': 4, 'n_units_l0': 104, 'n_units_l1': 78, 'n_units_l2': 109, 'n_units_l3': 67, 'optimizer': 'SGD', 'lr': 0.06536558051153121, 'batch_size': 256}. Best is trial 0 with value: 0.4798174083768155.
[I 2024-01-08 15:56:15,415] Trial 2 finished with value: 0.4736177152591051 and parameters: {'n_layers': 3, 'n_units_l0': 43, 'n_units_l1': 35, 'n_units_l2': 29, 'optimizer': 'SGD', 'lr': 0.00021227244421142714, 'batch_size': 256}. Best is trial 0 with value: 0.4798174083768155.
Number of finished trials:  3
Best trial:
  NDCG@5: 0.4798174083768155
  Params: 
    n_layers: 4
    n_units_l0: 30
    n_units_l1: 108
    n_units_l2: 36
    n_units_l3: 123
    optimizer: Adam
    lr: 0.0014112466331460344
    batch_size: 128
