[I 2024-01-10 21:14:26,533] A new study created in memory with name: no-name-522d29e7-7d0b-4565-b626-a3fca8631534
[I 2024-01-11 00:19:28,772] Trial 0 finished with value: 0.4790989594561693 and parameters: {'n_layers': 4, 'n_units_l0': 54, 'n_units_l1': 34, 'n_units_l2': 43, 'n_units_l3': 7, 'optimizer': 'Adam', 'lr': 0.0068424006199799695, 'batch_size': 256}. Best is trial 0 with value: 0.4790989594561693.
[I 2024-01-11 06:19:54,874] Trial 1 finished with value: 0.46456045240080396 and parameters: {'n_layers': 3, 'n_units_l0': 17, 'n_units_l1': 63, 'n_units_l2': 25, 'optimizer': 'SGD', 'lr': 0.00011112588147553611, 'batch_size': 64}. Best is trial 0 with value: 0.4790989594561693.
[I 2024-01-11 07:44:58,108] Trial 2 finished with value: 0.2524874798744557 and parameters: {'n_layers': 4, 'n_units_l0': 113, 'n_units_l1': 32, 'n_units_l2': 111, 'n_units_l3': 5, 'optimizer': 'SGD', 'lr': 0.0002807720897257135, 'batch_size': 512}. Best is trial 0 with value: 0.4790989594561693.
[I 2024-01-11 09:20:24,981] Trial 3 finished with value: 0.4539508997810145 and parameters: {'n_layers': 1, 'n_units_l0': 12, 'optimizer': 'SGD', 'lr': 0.015181569977931998, 'batch_size': 512}. Best is trial 0 with value: 0.4790989594561693.
Number of finished trials:  4
Best trial:
  NDCG@5: 0.4790989594561693
  Params: 
    n_layers: 4
    n_units_l0: 54
    n_units_l1: 34
    n_units_l2: 43
    n_units_l3: 7
    optimizer: Adam
    lr: 0.0068424006199799695
    batch_size: 256
