[I 2024-01-08 01:42:04,591] A new study created in memory with name: no-name-69cfe98d-2c17-4d5c-a0ac-325f35f33efa
[I 2024-01-08 07:58:03,681] Trial 0 finished with value: 0.47343130411038226 and parameters: {'n_layers': 4, 'n_units_l0': 128, 'n_units_l1': 56, 'n_units_l2': 31, 'n_units_l3': 76, 'optimizer': 'Adam', 'lr': 0.0011910051218876957, 'batch_size': 512}. Best is trial 0 with value: 0.47343130411038226.
[I 2024-01-08 14:46:17,107] Trial 1 finished with value: 0.46086007275408736 and parameters: {'n_layers': 2, 'n_units_l0': 84, 'n_units_l1': 123, 'optimizer': 'Adam', 'lr': 0.0001794525092609368, 'batch_size': 256}. Best is trial 0 with value: 0.47343130411038226.
Number of finished trials:  2
Best trial:
  NDCG@5: 0.47343130411038226
  Params: 
    n_layers: 4
    n_units_l0: 128
    n_units_l1: 56
    n_units_l2: 31
    n_units_l3: 76
    optimizer: Adam
    lr: 0.0011910051218876957
    batch_size: 512
