[I 2024-01-28 15:20:49,880] A new study created in memory with name: no-name-927db11b-3ef2-41ac-be55-56f41f97365f
[I 2024-01-28 15:31:57,828] Trial 0 finished with value: -0.397956 and parameters: {'learning_rate': 0.0009471449934401804, 'max_depth': 5, 'min_child_weight': 5, 'gamma': 0.00010526170017970647, 'lambda': 3.533324334038134e-08, 'alpha': 1.0982299585713622e-05}. Best is trial 0 with value: -0.397956.
[I 2024-01-28 15:34:30,789] Trial 1 finished with value: -0.418371 and parameters: {'learning_rate': 2.5440370182287368e-05, 'max_depth': 7, 'min_child_weight': 3, 'gamma': 2.3596267123007168e-05, 'lambda': 5.613558277436181e-06, 'alpha': 8.41839554106842e-06}. Best is trial 1 with value: -0.418371.
[I 2024-01-28 15:49:02,513] Trial 2 finished with value: -0.400407 and parameters: {'learning_rate': 0.0057830673156111295, 'max_depth': 4, 'min_child_weight': 4, 'gamma': 0.7355116550809278, 'lambda': 0.00029118051765668595, 'alpha': 0.22104693517666277}. Best is trial 1 with value: -0.418371.
[I 2024-01-28 15:51:18,919] Trial 3 finished with value: -0.403709 and parameters: {'learning_rate': 2.0069442835433403e-07, 'max_depth': 6, 'min_child_weight': 2, 'gamma': 1.083977447491347e-05, 'lambda': 0.025023665396068283, 'alpha': 0.7944168780229536}. Best is trial 1 with value: -0.418371.
[I 2024-01-28 16:05:44,822] Trial 4 finished with value: -0.389848 and parameters: {'learning_rate': 0.005650115878691559, 'max_depth': 3, 'min_child_weight': 4, 'gamma': 0.1229296926263979, 'lambda': 0.0007415917320053907, 'alpha': 0.0013543037661320986}. Best is trial 1 with value: -0.418371.
[I 2024-01-28 16:20:28,409] Trial 5 finished with value: -0.424576 and parameters: {'learning_rate': 0.0037968308839759868, 'max_depth': 6, 'min_child_weight': 8, 'gamma': 0.00013983985174006287, 'lambda': 0.0004301429038443452, 'alpha': 1.4390638016495109e-05}. Best is trial 5 with value: -0.424576.
[I 2024-01-28 16:22:56,448] Trial 6 finished with value: -0.426693 and parameters: {'learning_rate': 9.467744917269471e-08, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 4.385812019109271e-06, 'lambda': 0.0002235964805654151, 'alpha': 0.0021287687754670947}. Best is trial 6 with value: -0.426693.
[I 2024-01-28 16:25:01,810] Trial 7 finished with value: -0.366856 and parameters: {'learning_rate': 8.240519631295049e-07, 'max_depth': 3, 'min_child_weight': 2, 'gamma': 1.9355250335818896e-07, 'lambda': 0.006444550109892589, 'alpha': 0.3050171010010118}. Best is trial 6 with value: -0.426693.
[I 2024-01-28 16:39:41,880] Trial 8 finished with value: -0.405389 and parameters: {'learning_rate': 0.0013122226147213052, 'max_depth': 5, 'min_child_weight': 5, 'gamma': 0.0015609577736686755, 'lambda': 0.00020760513528121215, 'alpha': 0.008612149951045051}. Best is trial 6 with value: -0.426693.
[I 2024-01-28 16:42:20,704] Trial 9 finished with value: -0.417464 and parameters: {'learning_rate': 1.3996234040171118e-05, 'max_depth': 7, 'min_child_weight': 6, 'gamma': 3.2438109964603284e-07, 'lambda': 0.004025639864399821, 'alpha': 0.11962520561099879}. Best is trial 6 with value: -0.426693.
[I 2024-01-28 16:45:00,401] Trial 10 finished with value: -0.424985 and parameters: {'learning_rate': 1.4535390456805875e-08, 'max_depth': 8, 'min_child_weight': 7, 'gamma': 1.4394687253187949e-08, 'lambda': 0.2166762638355944, 'alpha': 5.1687492888714025e-08}. Best is trial 6 with value: -0.426693.
[I 2024-01-28 16:46:55,874] Trial 11 finished with value: -0.424768 and parameters: {'learning_rate': 1.0369376111273356e-08, 'max_depth': 8, 'min_child_weight': 8, 'gamma': 1.9334059394238275e-08, 'lambda': 0.7932071066438807, 'alpha': 1.7402012750853137e-08}. Best is trial 6 with value: -0.426693.
[I 2024-01-28 16:48:56,009] Trial 12 finished with value: -0.424023 and parameters: {'learning_rate': 1.2208844123063966e-08, 'max_depth': 8, 'min_child_weight': 7, 'gamma': 2.212772032601751e-08, 'lambda': 0.4291317068630567, 'alpha': 1.16629795167829e-08}. Best is trial 6 with value: -0.426693.
[I 2024-01-28 16:51:44,881] Trial 13 finished with value: -0.425045 and parameters: {'learning_rate': 9.33227245192894e-08, 'max_depth': 8, 'min_child_weight': 6, 'gamma': 1.397606567363595e-06, 'lambda': 6.661268944281168e-06, 'alpha': 3.731666873999989e-07}. Best is trial 6 with value: -0.426693.
[I 2024-01-28 16:53:53,314] Trial 14 finished with value: -0.416773 and parameters: {'learning_rate': 1.553386543324559e-07, 'max_depth': 7, 'min_child_weight': 6, 'gamma': 1.8880582860267636e-06, 'lambda': 1.15487999034244e-05, 'alpha': 8.060721196623585e-07}. Best is trial 6 with value: -0.426693.
[I 2024-01-28 16:55:57,977] Trial 15 finished with value: -0.426071 and parameters: {'learning_rate': 7.807231990234083e-07, 'max_depth': 8, 'min_child_weight': 3, 'gamma': 1.40262654486067e-06, 'lambda': 1.2584986205289384e-05, 'alpha': 0.0005350074207294431}. Best is trial 6 with value: -0.426693.
[I 2024-01-28 16:58:51,067] Trial 16 finished with value: -0.419013 and parameters: {'learning_rate': 2.1885993264425154e-06, 'max_depth': 7, 'min_child_weight': 3, 'gamma': 6.647733951250729e-06, 'lambda': 3.45187586925038e-05, 'alpha': 0.0005036602275611928}. Best is trial 6 with value: -0.426693.
[I 2024-01-28 17:01:03,460] Trial 17 finished with value: -0.403879 and parameters: {'learning_rate': 2.368523323591742e-06, 'max_depth': 6, 'min_child_weight': 3, 'gamma': 3.1792919709500077e-07, 'lambda': 4.605639288684292e-07, 'alpha': 0.008580012592490185}. Best is trial 6 with value: -0.426693.
[I 2024-01-28 17:03:12,596] Trial 18 finished with value: -0.426326 and parameters: {'learning_rate': 4.5327941137268976e-05, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 0.0008512985737620282, 'lambda': 1.465884873975282e-06, 'alpha': 0.0001468584967679083}. Best is trial 6 with value: -0.426693.
[I 2024-01-28 17:05:25,684] Trial 19 finished with value: -0.418101 and parameters: {'learning_rate': 4.785065518187281e-05, 'max_depth': 7, 'min_child_weight': 2, 'gamma': 0.0012495058596554305, 'lambda': 9.682511969483043e-07, 'alpha': 6.464933175756831e-05}. Best is trial 6 with value: -0.426693.
[I 2024-01-28 17:07:40,273] Trial 20 finished with value: -0.378485 and parameters: {'learning_rate': 7.082748939894115e-05, 'max_depth': 4, 'min_child_weight': 4, 'gamma': 0.0010815499773310575, 'lambda': 6.364960688532362e-05, 'alpha': 0.00011096580825470296}. Best is trial 6 with value: -0.426693.
[I 2024-01-28 17:10:07,226] Trial 21 finished with value: -0.426337 and parameters: {'learning_rate': 4.734011094806557e-06, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 1.63680783228757e-05, 'lambda': 6.486210152026715e-07, 'alpha': 0.0012474304512459897}. Best is trial 6 with value: -0.426693.
