[I 2024-01-24 16:20:02,128] A new study created in memory with name: no-name-4b484dea-2212-4c92-b110-632142b446e9
[I 2024-01-24 16:21:56,087] Trial 0 finished with value: -0.710065 and parameters: {'learning_rate': 1.7243018179564654e-07, 'max_depth': 5, 'min_child_weight': 6, 'gamma': 0.08261224596594054, 'lambda': 5.799463240133897e-07, 'alpha': 1.9021123988012067e-08}. Best is trial 0 with value: -0.710065.
[I 2024-01-24 16:23:01,464] Trial 1 finished with value: -0.720478 and parameters: {'learning_rate': 1.092269219443451e-06, 'max_depth': 6, 'min_child_weight': 7, 'gamma': 3.258593647462885e-05, 'lambda': 1.0236236479709173e-05, 'alpha': 1.9174752596048656e-08}. Best is trial 1 with value: -0.720478.
[I 2024-01-24 16:32:45,845] Trial 2 finished with value: -0.779334 and parameters: {'learning_rate': 0.03086292292150739, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 5.137441238255105e-08, 'lambda': 0.021945297074087995, 'alpha': 0.2276625220049174}. Best is trial 2 with value: -0.779334.
[I 2024-01-24 16:33:42,848] Trial 3 finished with value: -0.698863 and parameters: {'learning_rate': 6.024715659966355e-08, 'max_depth': 4, 'min_child_weight': 6, 'gamma': 7.693657668520429e-05, 'lambda': 5.889175202627403e-06, 'alpha': 0.3289711990708716}. Best is trial 2 with value: -0.779334.
[I 2024-01-24 16:34:56,873] Trial 4 finished with value: -0.737286 and parameters: {'learning_rate': 0.000739461815890196, 'max_depth': 7, 'min_child_weight': 5, 'gamma': 0.0009003136317509398, 'lambda': 3.100989216257815e-05, 'alpha': 2.8408002384784168e-08}. Best is trial 2 with value: -0.779334.
[I 2024-01-24 16:35:55,171] Trial 5 finished with value: -0.678644 and parameters: {'learning_rate': 0.00044541193943265455, 'max_depth': 3, 'min_child_weight': 7, 'gamma': 0.23084325669198644, 'lambda': 1.0339705311659953e-06, 'alpha': 1.509307069154892e-06}. Best is trial 2 with value: -0.779334.
[I 2024-01-24 16:43:06,704] Trial 6 finished with value: -0.731072 and parameters: {'learning_rate': 0.00030629516572726, 'max_depth': 6, 'min_child_weight': 9, 'gamma': 5.054646316535047e-08, 'lambda': 0.6424833700212923, 'alpha': 1.6884771637686286e-05}. Best is trial 2 with value: -0.779334.
[I 2024-01-24 16:44:00,307] Trial 7 finished with value: -0.678623 and parameters: {'learning_rate': 2.6843704548836722e-05, 'max_depth': 3, 'min_child_weight': 2, 'gamma': 0.13821038429945248, 'lambda': 0.004450632125944907, 'alpha': 8.28720557491415e-05}. Best is trial 2 with value: -0.779334.
[I 2024-01-24 16:52:03,996] Trial 8 finished with value: -0.785521 and parameters: {'learning_rate': 0.10532154634197322, 'max_depth': 6, 'min_child_weight': 9, 'gamma': 0.010585359617067743, 'lambda': 0.0009377505502811051, 'alpha': 3.5588067313897576e-06}. Best is trial 8 with value: -0.785521.
[I 2024-01-24 16:54:39,396] Trial 9 finished with value: -0.74158 and parameters: {'learning_rate': 1.4460225873644077e-07, 'max_depth': 8, 'min_child_weight': 7, 'gamma': 0.000815421370919436, 'lambda': 1.2111291871093582e-07, 'alpha': 0.006277851471503331}. Best is trial 8 with value: -0.785521.
[I 2024-01-24 16:58:46,151] Trial 10 finished with value: -0.781645 and parameters: {'learning_rate': 0.7651128577180492, 'max_depth': 5, 'min_child_weight': 10, 'gamma': 0.0081990821983121, 'lambda': 1.1053241567588088e-08, 'alpha': 0.0010907508178415587}. Best is trial 8 with value: -0.785521.
[I 2024-01-24 17:03:10,417] Trial 11 finished with value: -0.784429 and parameters: {'learning_rate': 0.6212626568626749, 'max_depth': 5, 'min_child_weight': 10, 'gamma': 0.005352284329253848, 'lambda': 1.0237097653459635e-08, 'alpha': 0.0010158608216556716}. Best is trial 8 with value: -0.785521.
[I 2024-01-24 17:06:33,186] Trial 12 finished with value: -0.78173 and parameters: {'learning_rate': 0.7493128086306532, 'max_depth': 6, 'min_child_weight': 10, 'gamma': 0.009954996462056866, 'lambda': 0.0007857574225647794, 'alpha': 6.412973116838581e-06}. Best is trial 8 with value: -0.785521.
[I 2024-01-24 17:14:16,965] Trial 13 finished with value: -0.765732 and parameters: {'learning_rate': 0.04274649490375624, 'max_depth': 4, 'min_child_weight': 9, 'gamma': 0.5196544724709995, 'lambda': 8.092069100985958e-05, 'alpha': 0.0003726171409919456}. Best is trial 8 with value: -0.785521.
[I 2024-01-24 17:23:13,740] Trial 14 finished with value: -0.774604 and parameters: {'learning_rate': 0.028964783883206783, 'max_depth': 7, 'min_child_weight': 9, 'gamma': 0.009166875090967537, 'lambda': 0.00041172130968649984, 'alpha': 7.67733937549988e-07}. Best is trial 8 with value: -0.785521.
[I 2024-01-24 17:31:06,972] Trial 15 finished with value: -0.745426 and parameters: {'learning_rate': 0.005026838545620148, 'max_depth': 5, 'min_child_weight': 8, 'gamma': 9.587226246073977e-06, 'lambda': 1.3831264190723753e-07, 'alpha': 0.00723299719245893}. Best is trial 8 with value: -0.785521.
[I 2024-01-24 17:34:30,879] Trial 16 finished with value: -0.782157 and parameters: {'learning_rate': 0.7573605014993472, 'max_depth': 7, 'min_child_weight': 10, 'gamma': 0.8105486725361529, 'lambda': 1.1548814496661911e-08, 'alpha': 6.077490988811322e-05}. Best is trial 8 with value: -0.785521.
[I 2024-01-24 17:42:07,396] Trial 17 finished with value: -0.777211 and parameters: {'learning_rate': 0.1058422046841845, 'max_depth': 4, 'min_child_weight': 8, 'gamma': 0.001168168425028956, 'lambda': 0.00017698228763594556, 'alpha': 5.691539465653934e-07}. Best is trial 8 with value: -0.785521.
[I 2024-01-24 17:49:54,529] Trial 18 finished with value: -0.740806 and parameters: {'learning_rate': 0.002800260106347453, 'max_depth': 5, 'min_child_weight': 4, 'gamma': 0.030179330632614357, 'lambda': 8.250497188280542e-06, 'alpha': 1.4220578812267106e-05}. Best is trial 8 with value: -0.785521.
[I 2024-01-24 17:58:01,274] Trial 19 finished with value: -0.788378 and parameters: {'learning_rate': 0.16377889845376598, 'max_depth': 6, 'min_child_weight': 8, 'gamma': 0.03882065840289027, 'lambda': 0.002419037917483008, 'alpha': 0.0004913044330906956}. Best is trial 19 with value: -0.788378.
[I 2024-01-24 18:06:53,127] Trial 20 finished with value: -0.757484 and parameters: {'learning_rate': 0.005227705927241492, 'max_depth': 7, 'min_child_weight': 8, 'gamma': 0.9977667550470899, 'lambda': 0.0027705517946329653, 'alpha': 1.5210517226190075e-07}. Best is trial 19 with value: -0.788378.
[I 2024-01-24 18:14:56,482] Trial 21 finished with value: -0.789111 and parameters: {'learning_rate': 0.17564304709055348, 'max_depth': 6, 'min_child_weight': 9, 'gamma': 0.060479480851792666, 'lambda': 7.72262278391765e-05, 'alpha': 0.00019137867328208454}. Best is trial 21 with value: -0.789111.
[I 2024-01-24 18:23:06,623] Trial 22 finished with value: -0.785928 and parameters: {'learning_rate': 0.12052939629620124, 'max_depth': 6, 'min_child_weight': 9, 'gamma': 0.06260081041518213, 'lambda': 9.051429676571923e-05, 'alpha': 5.325309147253442e-06}. Best is trial 21 with value: -0.789111.
[I 2024-01-24 18:31:23,511] Trial 23 finished with value: -0.787172 and parameters: {'learning_rate': 0.13227700336034873, 'max_depth': 6, 'min_child_weight': 8, 'gamma': 0.05380813864901746, 'lambda': 6.888268183704289e-05, 'alpha': 3.462832469911302e-05}. Best is trial 21 with value: -0.789111.
[I 2024-01-24 18:40:18,047] Trial 24 finished with value: -0.766992 and parameters: {'learning_rate': 0.013734022439962183, 'max_depth': 7, 'min_child_weight': 8, 'gamma': 0.061904304635950064, 'lambda': 4.7038406291566335e-05, 'alpha': 6.052540319475109e-05}. Best is trial 21 with value: -0.789111.
[I 2024-01-24 18:48:22,789] Trial 25 finished with value: -0.789974 and parameters: {'learning_rate': 0.2219912880769708, 'max_depth': 6, 'min_child_weight': 7, 'gamma': 0.19969687098165131, 'lambda': 0.0002691003711019041, 'alpha': 0.00030897037262897606}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 18:57:21,147] Trial 26 finished with value: -0.763208 and parameters: {'learning_rate': 0.008811872681904765, 'max_depth': 7, 'min_child_weight': 5, 'gamma': 0.2758862810663164, 'lambda': 0.008489873826032591, 'alpha': 0.0006287140819144416}. Best is trial 25 with value: -0.789974.
