[I 2024-01-24 16:20:06,311] A new study created in memory with name: no-name-b60b012b-d5a3-4500-8277-fbba30a73341
[I 2024-01-24 16:21:47,875] Trial 0 finished with value: -0.68998 and parameters: {'learning_rate': 0.0006096187937588679, 'max_depth': 6, 'min_child_weight': 3, 'gamma': 0.032232458429972556, 'lambda': 1.87345593307003e-05, 'alpha': 1.3907105688792442e-07}. Best is trial 0 with value: -0.68998.
[I 2024-01-24 16:22:31,060] Trial 1 finished with value: -0.642789 and parameters: {'learning_rate': 5.786302025437546e-07, 'max_depth': 3, 'min_child_weight': 4, 'gamma': 9.547204451763527e-06, 'lambda': 1.2545526660144916e-05, 'alpha': 1.7039653183275206e-05}. Best is trial 0 with value: -0.68998.
[I 2024-01-24 16:23:42,380] Trial 2 finished with value: -0.676375 and parameters: {'learning_rate': 0.0003088331172437917, 'max_depth': 5, 'min_child_weight': 6, 'gamma': 0.07806565776595123, 'lambda': 0.27281290440645983, 'alpha': 0.3511936165775853}. Best is trial 0 with value: -0.68998.
[I 2024-01-24 16:24:49,355] Trial 3 finished with value: -0.663302 and parameters: {'learning_rate': 3.321304928707192e-05, 'max_depth': 4, 'min_child_weight': 9, 'gamma': 0.022242051180869186, 'lambda': 2.022665253664708e-05, 'alpha': 3.3262669460102186e-06}. Best is trial 0 with value: -0.68998.
[I 2024-01-24 16:32:02,797] Trial 4 finished with value: -0.757792 and parameters: {'learning_rate': 0.13376192029329884, 'max_depth': 6, 'min_child_weight': 6, 'gamma': 5.891428579198282e-08, 'lambda': 0.0013549204049006455, 'alpha': 0.002010056788233224}. Best is trial 4 with value: -0.757792.
[I 2024-01-24 16:33:37,349] Trial 5 finished with value: -0.675923 and parameters: {'learning_rate': 1.875886424151448e-05, 'max_depth': 5, 'min_child_weight': 7, 'gamma': 0.26130658308482757, 'lambda': 0.0002643857869026078, 'alpha': 4.293795188021436e-06}. Best is trial 4 with value: -0.757792.
[I 2024-01-24 16:35:01,459] Trial 6 finished with value: -0.675856 and parameters: {'learning_rate': 1.0121464252377888e-05, 'max_depth': 5, 'min_child_weight': 10, 'gamma': 2.719435317399809e-05, 'lambda': 0.0013415651218798034, 'alpha': 0.01096108915163443}. Best is trial 4 with value: -0.757792.
[I 2024-01-24 16:38:13,763] Trial 7 finished with value: -0.708048 and parameters: {'learning_rate': 1.4693611878266982e-08, 'max_depth': 8, 'min_child_weight': 4, 'gamma': 0.00972376921983614, 'lambda': 0.0006943808831616097, 'alpha': 0.0011939990358786129}. Best is trial 4 with value: -0.757792.
[I 2024-01-24 16:43:44,319] Trial 8 finished with value: -0.709724 and parameters: {'learning_rate': 0.006006945951512702, 'max_depth': 4, 'min_child_weight': 5, 'gamma': 0.02104653594682842, 'lambda': 0.19528859468177845, 'alpha': 0.03862449278146651}. Best is trial 4 with value: -0.757792.
[I 2024-01-24 16:44:50,953] Trial 9 finished with value: -0.663293 and parameters: {'learning_rate': 2.849991500322666e-06, 'max_depth': 4, 'min_child_weight': 3, 'gamma': 2.20871785369169e-06, 'lambda': 0.009204653346446197, 'alpha': 2.3159286477495252e-07}. Best is trial 4 with value: -0.757792.
[I 2024-01-24 16:47:33,991] Trial 10 finished with value: -0.749397 and parameters: {'learning_rate': 0.9103388494881219, 'max_depth': 7, 'min_child_weight': 8, 'gamma': 2.9489319484503216e-08, 'lambda': 4.146593002947731e-08, 'alpha': 0.00017918949639517294}. Best is trial 4 with value: -0.757792.
[I 2024-01-24 16:52:46,747] Trial 11 finished with value: -0.758358 and parameters: {'learning_rate': 0.4610772624567647, 'max_depth': 7, 'min_child_weight': 8, 'gamma': 1.3629115986565086e-08, 'lambda': 1.7363807929058553e-08, 'alpha': 0.00035922356525619714}. Best is trial 11 with value: -0.758358.
[I 2024-01-24 16:56:45,330] Trial 12 finished with value: -0.756031 and parameters: {'learning_rate': 0.4692821533436095, 'max_depth': 7, 'min_child_weight': 7, 'gamma': 1.550203077731823e-08, 'lambda': 2.5531214224731715e-08, 'alpha': 0.0007837263408415773}. Best is trial 11 with value: -0.758358.
[I 2024-01-24 17:04:47,651] Trial 13 finished with value: -0.750437 and parameters: {'learning_rate': 0.040957337483528304, 'max_depth': 7, 'min_child_weight': 8, 'gamma': 2.1843753744560275e-07, 'lambda': 3.267301393099629e-07, 'alpha': 0.0030235562785794687}. Best is trial 11 with value: -0.758358.
[I 2024-01-24 17:13:13,207] Trial 14 finished with value: -0.754813 and parameters: {'learning_rate': 0.048581246815961585, 'max_depth': 8, 'min_child_weight': 6, 'gamma': 3.4255606615123227e-07, 'lambda': 6.065267442151424e-07, 'alpha': 0.00012835380416050072}. Best is trial 11 with value: -0.758358.
[I 2024-01-24 17:20:43,150] Trial 15 finished with value: -0.719929 and parameters: {'learning_rate': 0.003730194044600762, 'max_depth': 6, 'min_child_weight': 10, 'gamma': 1.0457142779753993e-08, 'lambda': 1.3615185211380875e-08, 'alpha': 0.042999848253618966}. Best is trial 11 with value: -0.758358.
[I 2024-01-24 17:28:03,898] Trial 16 finished with value: -0.758046 and parameters: {'learning_rate': 0.14287006026513083, 'max_depth': 6, 'min_child_weight': 8, 'gamma': 0.0002435766336269368, 'lambda': 1.2277909557524353e-06, 'alpha': 0.9825507605246333}. Best is trial 11 with value: -0.758358.
[I 2024-01-24 17:31:18,963] Trial 17 finished with value: -0.755788 and parameters: {'learning_rate': 0.6685402822501236, 'max_depth': 7, 'min_child_weight': 8, 'gamma': 0.0004454747999657649, 'lambda': 7.861040967079172e-07, 'alpha': 0.8119097248329057}. Best is trial 11 with value: -0.758358.
[I 2024-01-24 17:40:10,702] Trial 18 finished with value: -0.741222 and parameters: {'learning_rate': 0.013435090498788589, 'max_depth': 8, 'min_child_weight': 7, 'gamma': 0.00041911231515048136, 'lambda': 1.032154328652695e-07, 'alpha': 0.09796230740869712}. Best is trial 11 with value: -0.758358.
[I 2024-01-24 17:47:35,549] Trial 19 finished with value: -0.755451 and parameters: {'learning_rate': 0.0970049999035795, 'max_depth': 6, 'min_child_weight': 9, 'gamma': 1.4834276967208724e-06, 'lambda': 2.3143832863630933e-06, 'alpha': 0.009193917310637192}. Best is trial 11 with value: -0.758358.
[I 2024-01-24 17:55:38,888] Trial 20 finished with value: -0.725293 and parameters: {'learning_rate': 0.0029159349653369382, 'max_depth': 7, 'min_child_weight': 9, 'gamma': 7.824014985888135e-05, 'lambda': 1.0638978609232616e-08, 'alpha': 0.26583561251656046}. Best is trial 11 with value: -0.758358.
[I 2024-01-24 18:02:58,102] Trial 21 finished with value: -0.759201 and parameters: {'learning_rate': 0.15104345874631442, 'max_depth': 6, 'min_child_weight': 5, 'gamma': 7.113854128418615e-08, 'lambda': 1.8043251000759175e-07, 'alpha': 0.0009246818717337801}. Best is trial 21 with value: -0.759201.
[I 2024-01-24 18:10:13,354] Trial 22 finished with value: -0.761378 and parameters: {'learning_rate': 0.17311465808406618, 'max_depth': 6, 'min_child_weight': 5, 'gamma': 1.233181448155078e-07, 'lambda': 1.1084866803460577e-07, 'alpha': 0.0004513022904344324}. Best is trial 22 with value: -0.761378.
[I 2024-01-24 18:17:17,783] Trial 23 finished with value: -0.725779 and parameters: {'learning_rate': 0.01383968364020759, 'max_depth': 5, 'min_child_weight': 5, 'gamma': 1.5290525314923733e-07, 'lambda': 1.139251889662763e-07, 'alpha': 0.0003060264953296047}. Best is trial 22 with value: -0.761378.
[I 2024-01-24 18:24:06,614] Trial 24 finished with value: -0.76204 and parameters: {'learning_rate': 0.2534857328332623, 'max_depth': 7, 'min_child_weight': 5, 'gamma': 6.640350557713413e-08, 'lambda': 9.407888043183906e-08, 'alpha': 3.598198215190557e-05}. Best is trial 24 with value: -0.76204.
[I 2024-01-24 18:31:38,515] Trial 25 finished with value: -0.736619 and parameters: {'learning_rate': 0.02270037384769818, 'max_depth': 6, 'min_child_weight': 2, 'gamma': 5.7069279999988866e-08, 'lambda': 1.353743153666308e-07, 'alpha': 4.4066609614921e-05}. Best is trial 24 with value: -0.76204.
[I 2024-01-24 18:39:57,770] Trial 26 finished with value: -0.764289 and parameters: {'learning_rate': 0.13256543308981047, 'max_depth': 8, 'min_child_weight': 5, 'gamma': 5.9667172659417e-07, 'lambda': 5.364418614898084e-06, 'alpha': 4.635248138394286e-05}. Best is trial 26 with value: -0.764289.
[I 2024-01-24 18:46:34,619] Trial 27 finished with value: -0.722116 and parameters: {'learning_rate': 0.00113319014468192, 'max_depth': 8, 'min_child_weight': 4, 'gamma': 6.527548247498203e-07, 'lambda': 3.326196876760728e-06, 'alpha': 3.170402401802615e-05}. Best is trial 26 with value: -0.764289.
